symbol,name,market,country,dart_corp_code,sector
005930,삼성전자,KOSPI,KR,,반도체
000660,SK하이닉스,KOSPI,KR,,반도체
035420,NAVER,KOSPI,KR,,플랫폼
005380,현대차,KOSPI,KR,,자동차
006400,삼성SDI,KOSPI,KR,,2차전지
035720,카카오,KOSPI,KR,,플랫폼
051910,LG화학,KOSPI,KR,,2차전지
068270,셀트리온,KOSPI,KR,,바이오
105560,KB금융,KOSPI,KR,,금융
055550,신한지주,KOSPI,KR,,금융
003550,LG,KOSPI,KR,,지주
096770,SK이노베이션,KOSPI,KR,,에너지
028260,삼성물산,KOSPI,KR,,지주
012330,현대모비스,KOSPI,KR,,자동차
032830,삼성생명,KOSPI,KR,,보험
018260,삼성에스디에스,KOSPI,KR,,IT서비스
017670,SK텔레콤,KOSPI,KR,,통신
030200,KT,KOSPI,KR,,통신
034730,SK,KOSPI,KR,,지주
011200,HMM,KOSPI,KR,,물류/운송
009150,삼성전기,KOSPI,KR,,반도체
010130,고려아연,KOSPI,KR,,소재
086790,하나금융지주,KOSPI,KR,,금융
033780,KT&G,KOSPI,KR,,소비재
066570,LG전자,KOSPI,KR,,가전
003490,대한항공,KOSPI,KR,,물류/운송
000270,기아,KOSPI,KR,,자동차
015760,한국전력,KOSPI,KR,,에너지
036460,한국가스공사,KOSPI,KR,,에너지
011070,LG이노텍,KOSPI,KR,,반도체
207940,삼성바이오로직스,KOSPI,KR,,바이오
006800,미래에셋증권,KOSPI,KR,,금융
010950,S-Oil,KOSPI,KR,,에너지
024110,기업은행,KOSPI,KR,,금융
000810,삼성화재,KOSPI,KR,,보험
003670,포스코퓨처엠,KOSPI,KR,,2차전지
316140,우리금융지주,KOSPI,KR,,금융
009830,한화솔루션,KOSPI,KR,,에너지
047050,포스코인터내셔널,KOSPI,KR,,지주
005490,POSCO홀딩스,KOSPI,KR,,소재
247540,에코프로비엠,KOSDAQ,KR,,2차전지
086520,에코프로,KOSDAQ,KR,,2차전지
196170,알테오젠,KOSDAQ,KR,,바이오
263750,펄어비스,KOSDAQ,KR,,엔터/게임
112040,위메이드,KOSDAQ,KR,,엔터/게임
041510,에스엠,KOSDAQ,KR,,엔터/게임
035900,JYP Ent.,KOSDAQ,KR,,엔터/게임
122870,와이지엔터테인먼트,KOSDAQ,KR,,엔터/게임
293490,카카오게임즈,KOSDAQ,KR,,엔터/게임
251270,넷마블,KOSPI,KR,,엔터/게임
036570,엔씨소프트,KOSPI,KR,,엔터/게임
259960,크래프톤,KOSPI,KR,,엔터/게임
042700,한미반도체,KOSDAQ,KR,,반도체
095340,ISC,KOSDAQ,KR,,반도체
039030,이오테크닉스,KOSDAQ,KR,,반도체
AAPL,Apple,NASDAQ,US,,빅테크
MSFT,Microsoft,NASDAQ,US,,빅테크
NVDA,NVIDIA,NASDAQ,US,,반도체
GOOGL,Alphabet Class A,NASDAQ,US,,빅테크
GOOG,Alphabet Class C,NASDAQ,US,,빅테크
AMZN,Amazon,NASDAQ,US,,빅테크
META,Meta Platforms,NASDAQ,US,,빅테크
TSLA,Tesla,NASDAQ,US,,자동차
AMD,Advanced Micro Devices,NASDAQ,US,,반도체
INTC,Intel,NASDAQ,US,,반도체
QCOM,Qualcomm,NASDAQ,US,,반도체
